PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 Russia,AKF Polet,1991-06-26,Gulf of Finland- Russia,Antonov AN-24
 Turkmenistan,Akhal Air,1996-03-12,Karabogazgol Bay- Turkmenistan,Mil Mi-8T (helicopter)
 Italy,Ala Littolia,1940-12-24,Capri Island- Italy,Savoia-Marchetti SM.75
 Egypt,Ala Littoria,1935-08-07,Cairo- Egypt,Savoia-Marchetti S-66
 Sudan,Ala Littoria,1937-08-02,Wadi Halfa- Sudan,Savoia-Marchetti SM73
 Germany,Ala Littoria,1937-12-04,Munich- Germany,Junkers JU-52
 Italy,Ala Littoria,1938-04-30,Near Formia- Italy,Junkers JU-52
 Italy,Ala Littoria,1938-07-14,Off Sardinia- Italy,Savoia Marchetti S-66
 Italy,Ala Littoria,1940-03-16,Stromboli Island- Italy,Savoia Marchetti SM 73
 Italy,Ala Littoria,1941-07-30,Rome- Italy,Macchi C.100
 Libya,Ala Littoria SA,1936-09-24,Benghazi- Libya,CRDA CANT Z-506
,Ala Littoria SA,1938-02-13,Mediterranean Sea,Cant Z-506
 Italy,Ala Littoria SA,1940-02-10,Near Cosenza- Italy,Savoia-Marchetti SM-75
 Angola,ALADA,1997-03-12,Lucapa- Angola,Antonov AN-12B
 Angola,Alada,1998-08-11,Saurimo- Angola,Antonov An-12BP
 Colorado,Alamo Airways,1966-07-11,Hideaway Park- Colorado,de Havilland 104-6A
,Alantis Aviation,2008-12-15,Off Turks and Caicos Islands,Britten Norman BN-2A Trislander Mk3
 Panama,Alas Chiricanas,1994-07-19,Colon- Panama,Embraer 110P1 Bandeirante
 Argentina,Alas del Sur,1998-07-16,Córdoba- Argentina,Rockwell Sabreliner 60
 Domincan Republic,Alas Nacionales leased from Birgen Air,1996-02-06,Off Puerto Plata- Domincan Republic,Boeing B-757-225
 Alaska,Alaska Aeronautical Industries,1977-09-06,Mt. Iliamna- Alaska,de Havilland Canada DHC-6 Twin Otter 200
 Washington,Alaska Airlines,1947-11-30,Seattle- Washington,Douglas C-54A
 Alaska,Alaska Airlines,1949-01-20,Homer- Alaska,Douglas DC-3C
 Alaska,Alaska Airlines,1954-08-08,Near McGrath- Alaska,Douglas DC-2
 Alaska,Alaska Airlines,1956-10-02,Near Nome- Alaska,Stinson AT-19
 Washington,Alaska Airlines,1957-03-02,Blyn- Washington,Douglas C-54B
 Alaska,Alaska Airlines,1961-07-21,Shemya- Alaska,Douglas DC-6A
 Alaska,Alaska Airlines,1971-09-04,Near Juneau- Alaska,Boeing B-727-193
 Alaska,Alaska Airlines,1976-04-05,Ketchikan- Alaska,Boeing B-727-81
 California,Alaska Airlines,2000-01-31,Off Point Mugu- California,McDonnell Douglas MD-83
 Alaska,Alaska Central Express,2010-01-22,Off Sand Point- Alaska,Beechcraft 1900C-1
 Alaska,Alaska Coastal Airlines,1966-08-21,Near Juneau- Alaska,Grumman G-21 Goose
 Alaska,Alaska International Air,1974-10-27,Old Man's Camp- Alaska,Lockheed L-100 Hercules
 AK,Alaska Travel,1978-09-13,Whittier- AK,de Havilland DHC-2
 BC,Alaska-Washington Airways,1930-10-28,Prince Rupert- BC- Canada,Lockheed Vega
 Argentina,ALFA,1948-07-29,Buenos Aires- Argentina,Short Sandringham 2 (flying boat)
 Sudan,Alfa Airlines,2012-08-19,Talodi- Sudan,Antonov An-26-100
 Syria,Alia Royal Jordanian Airlines,1965-04-10,Near Damascus- Syria,Handley Page Dart Herald 207
 Nigeria,Alia Royal Jordanian Airlines,1973-01-22,Kano- Nigeria,Boeing B-707-3D3C
 Morocco,Alia Royal Jordanian Airlines,1975-08-03,Near Immouzer- Morocco,Boeing B-707-321C
 Qatar,Alia Royal Jordanian Airlines,1979-03-14,Near Doha Airport- Qatar,Boeing B-727-2D3
 Colombia,ALIANSA Colombia,1999-03-18,Near Tame- Colombia,Douglas DC-3C (C-47A-DK)
 Colombia,Alisansa Colombia,2014-05-08,Near San Vicente del Caguan- Colombia,Douglas DC-3C
 Italy,Alitalia,1951-01-17,Near Civitavecchia- Italy,Savoia Marchetti SM-95
 Italy,Alitalia,1959-12-21,Rome- Italy,Vickers 785D Viscount
 Ireland,Alitalia,1960-02-26,Shannon- Ireland,Douglas DC-7C
 Maharashtra,Alitalia,1962-07-07,Near Junnar- Maharashtra- India,McDonnell Douglas DC-8-43
 Italy,Alitalia,1964-03-28,Mt. Vesuvius- Italy,Vickers Viscount 785D
 Italy,Alitalia,1968-08-02,Near Milan- Italy,McDonnell Douglas DC-8
 Sicily,Alitalia,1972-05-05,Near Carini- Sicily- Italy,McDonnell Douglas DC-8-43
 Sicily,Alitalia,1978-12-23,Off Cinisi- Sicily- Italy,McDonnell Douglas DC-9-32
 Switzerland,Alitalia,1990-11-14,Stadelberg- Switzerland,McDonnell Douglas DC-9-32
 Japan,All Nippon Airways,1958-08-12,Sakiya Saugye- Japan,Douglas DC-3
 Japan,All Nippon Airways,1960-03-16,Nagoya- Japan,Douglas DC-3
 Japan,All Nippon Airways,1962-11-19,Near Nagoya- Japan,Vickers 828 Viscount
 Japan,All Nippon Airways,1966-02-04,Tokyo Bay- Japan,Boeing B-727-81
 Japan,All Nippon Airways,1966-11-13,Off Matsuyama- Japan,NAMC-YS-11-111
 Japan,All Nippon Airways,1999-07-23,Tokyo- Japan,Boeing B-747
 Japan,All Nippon Airways / Japanese Air Force,1971-07-30,Near Morioko- Japan,Boeing B-727-281 / Air Force F86F
 Alaska,All West Freight,2010-08-01,Near Denali National Park- Alaska,Fairchild C-123K
 Pennsylvania,Allegheny Airlines,1959-12-01,Willamsport- Pennsylvania,Martin 202
 Connecticut,Allegheny Airlines,1962-10-19,Windsor Locks- Connecticut,Convair CV-340/440
 Pennsylvania,Allegheny Airlines,1968-12-24,Bradford- Pennsylvania,Convair CV-580
 Pennsylvania,Allegheny Airlines,1969-01-06,Near Bradford- Pennsylvania,Convair CV-580
 Connecticut,Allegheny Airlines,1971-06-07,New Haven- Connecticut,Convair CV-580
 West Virginia,Allegheny Airlines,1979-02-12,Clarksburg- West Virginia,Nord 262
 Indiana,Allegheny Airlines / Forth Corporation,1969-09-09,Near Fairland- Indiana,MD Douglas DC-9-31/Piper Cherokee PA-28
 India,Alliance Airlines,1998-07-30,Kochi- India,Dornier 228-201
 Ghana,Allied Air,2012-06-02,Accra- Ghana,Boeing B-727-200
 Bahamas,Allied Air Freight,2000-07-20,Nassau- Bahamas,Douglas C-47A-10-DK
 South Sudan,Allied Services Limited,2015-11-04,Juba- South Sudan,Antonov 12BK
 Hawaii,Aloha Airlines,1988-04-28,Maui- Hawaii,Boeing B-737-297
 Molokai,Aloha Island Air,1989-10-28,Halawa Point- Molokai- Hawaii,de Havilland DHC-6 Twin Otter 300
 Spain,Alpa Servicios Aéreos,1974-11-22,Barcelona- Spain,Cessna 500 Citation I
 Spain,Alpha Airways,1948-05-25,Albacete- Spain,Handley Page Halifax C-8
 South Valley,Alpine Adventures,2015-11-21,Fox Glacier- South Valley- New Zealand,Aerospatiale AS 350B2 Ecureuil
 Yemen,Alyemda,1977-03-01,Off Aden- Yemen,Douglas DC-3
 Yemen,Alyemda,1982-05-09,Off Aden- Yemen,de Havilland Canada DHC-7-103
 Yemen,Alyemda Airlines,1985-08-15,Aden- Yemen,Boeing 707-336C
 Brazil,Amazonese Importacao e Exportacao,1972-05-29,Cruzeiro do Sul Acre- Brazil,Lockheed 049 Constellation
 Alaska,Ambler Air Service,1980-01-14,Shungnak- Alaska,Cessna 185A
 France,Amee de l'Air,1923-01-10,Ajaccio- France,Lioré-et-Olivier H-13
 Montana,American Air Export & Import Co.,1963-08-14,Near Great Falls- Montana,Curtiss C-46F-1-CU
 Tennessee,American Airlines,1934-12-22,Sunbright- Tennessee,Lockheed Orion 9D
 Arkansas,American Airlines,1936-01-14,Goodwin- Arkansas,Douglas DC-2-120
 Texas,American Airlines,1936-01-29,Denton- Texas,Vultee V-1
 New York,American Airlines,1936-04-01,Pavillon- New York,Stinson Model A
 Ontario,American Airlines,1941-10-30,St. Thomas- Ontario- Canada,Douglas DC-3
 Kentucky,American Airlines,1943-07-28,Trammel- Kentucky,Douglas DC-3
 Tennessee,American Airlines,1943-10-15,Near Centerville- Tennessee,Douglas DC3-G102
 Tennessee,American Airlines,1944-02-10,Memphis- Tennessee,Douglas DC-3
 California,American Airlines,1945-01-10,Burbank- California,Douglas DC-3
 Virginia,American Airlines,1945-02-23,Marion- Virginia,Douglas DC-3
 California,American Airlines,1946-03-03,Live Oak Springs- California,Douglas DC-3-227B
 Indiana,American Airlines,1946-12-28,Michigan City- Indiana,Douglas DC-3 (C-50A-DO)
 New York,American Airlines,1947-08-08,New York- New York,Douglas DC-3C
 Texas,American Airlines,1947-10-08,Near El Paso- Texas,Douglas DC-4
 New Mexico,American Airlines,1947-11-11,Gallup- New Mexico,Douglas DC-6
 Texas,American Airlines,1949-11-29,Dallas- Texas,Douglas DC-6
 Colorado,American Airlines,1950-08-22,Near Eagle- Colorado,Douglas DC-6
 New Jersey,American Airlines,1952-01-22,Elizabeth- New Jersey,Convair CV-240-0
 New York,American Airlines,1953-09-16,Albany- New York,Convair CV-240-0
 Missouri,American Airlines,1955-03-20,Springfield- Missouri,Convair CV-240-0
 Missouri,American Airlines,1955-08-04,Fort Leonard Wood- Missouri,Convair CV-240-0
 Oklahoma,American Airlines,1957-01-06,Owasso- Oklahoma,Convair CV-240-0
 New York,American Airlines,1959-02-03,La Guardia Airport- New York- NY,Lockheed 188A Electra
 New York,American Airlines,1959-08-15,Calverton- New York,Boeing 707-123
 New York,American Airlines,1961-01-28,Off Montauk Point- New York,Boeing 707-123
 New York,American Airlines,1962-03-01,Jamaica Bay- New York- New York,Boeing B-707-123B
 near Covington,American Airlines,1965-11-08,Cincinnati Airport- near Covington- Kentucky,Boeing B-727-23
 Virgin Islands,American Airlines,1976-04-27,St. Thomas- Virgin Islands,Boeing B-727-95
 Illinois,American Airlines,1979-05-25,Chicago O'Hare- Illinois,McDonnell Douglas DC-10-10
 Illinois,American Airlines,1979-11-15,Near Chicago- Illinois,Boeing B-727
 New Mexico,American Airlines,1985-04-16,Las Cruces- New Mexico,Boeing B-727-227
 Valle del Cauca,American Airlines,1995-12-20,Near Buga- Valle del Cauca- Colombia,Boeing B-757-223
 Arkansas,American Airlines,1999-06-01,Little Rock- Arkansas,McDonnell Douglas MD-82
 Florida,American Airlines,2000-11-20,Miami- Florida,Airbus A300-600R
 New York,American Airlines,2001-09-11,New York City- New York,Boeing 767-223ER
 Virginia.,American Airlines,2001-09-11,Arlington- Virginia.,Boeing B-757-223
 Queens,American Airlines,2001-11-12,Belle Harbor- Queens- New York,Airbus A-300-605R
 Illinois,American Airways,1931-07-21,Centralia- Illinois,Pitcairn PA-6 Mailwing
 Ohio,American Airways,1931-08-09,Cincinnati- Ohio,Ford 5-AT-C Tri Motor
 Ohio,American Airways,1931-12-31,Springfield- Ohio,Fairchild Pilgrim 100A
 California,American Airways,1932-03-19,Calimesa- California,Fokker F-10A
 Texas,American Airways,1932-09-08,Salt Flats- Texas,Fokker F-10
 Texas,American Airways,1933-01-20,Bourne- Texas,Stearman 4
 Georgia,American Airways,1933-01-20,Marietta- Georgia,Stearman 4
 Illinois,American Airways,1934-03-06,Petersburg- Illinois,Fairchild Pilgrim 100A
 New York,American Airways,1934-06-09,Mongaup Mountain- New York,Curtiss Condor T-32
 Puerto Rico,American Eagle,1987-05-08,Mayaguez- Puerto Rico,CASA 212 Aviocar 200
 Puerto Rico,American Eagle,1992-06-07,Mayaguez- Puerto Rico,CASA 212 Aviocar 200
 Indiana,American Eagle,1994-10-31,Roselawn- Indiana,ATR-72-212
 North Carolina,American Eagle,1994-12-13,Morrisville- North Carolina,British Aerospace Jetstream 3201
 Newfoundland,American Export Airlines,1942-10-03,Botwood- Newfoundland,Sirkorsky 44A (flying boat)
 Puerto Rico,American Express Leasing,1972-12-31,San Juan- Puerto Rico,Douglas DC-7CF
 Oklahoma,American Flyers Airline,1966-04-22,Near Ardmore- Oklahoma,Lockheed 188C Electra
 800 miles east of Newfoundland,American International Airways,1947-10-14,Ocean- 800 miles east of Newfoundland,Boeing 314A
 Guantanamo Bay,American International Airways,1993-08-18,Leeward Point Airfield- Guantanamo Bay- Cuba,McDonnell Douglas DC-8-61
 Ecuador,American Jet,1995-05-03,Quito- Ecuador,Grumman Gulfstream II
 Newfoundland,American Overseas Airlines,1946-10-03,Stephenville- Newfoundland,Douglas C-54E-5-DO
 California,Ameriflight,1994-11-16,Avenal- California,Beechcraft C99
 Washington,Ameriflight,2003-11-29,Spokane- Washington,Swearingen SA227AT Merlin IVC
 Ecuador,ANDESA,1946-07-17,Cuenca- Ecuador,Curtiss C-46D-10-CU
 Russia,Angara Airlines,2011-07-11,Near Strezhevoy- Russia,Antonov An-24RV
 South Australia,Angel Flight,2017-06-28,Mount Gambier- South Australia,Socata TB1-10 Tobago
 Papua,Ansett Airlines of Papua New Guinea,1972-09-01,Mt. Giluwe- Papua- New Guinea,Shorts SC-7 Skyvan 3-300
 Australia,Ansett ANA,1950-06-26,York- Australia,Douglas DC-4-1009
 Australia,Ansett ANA,1956-01-12,Frederick Henry Bay- Australia,Douglas C-47
 NSW,Ansett ANA,1961-11-30,Sydney- NSW- Australia,Vickers Viscount 720
 Australia,Ansett ANA,1966-09-22,Winton- Australia,Vickers Viscount 832
 New Zealand,Ansett New Zealand,1995-06-09,Near Palmerston North- New Zealand,de Havilland Canada DHC-8-102
 US Virgin Islands,Antillean Airlines,1970-05-02,Near St. Croix- US Virgin Islands,McDonnell Douglas DC-9-33CF
 Virgin Islands,Antilles Air,1976-02-21,St. Croix- Virgin Islands,Grumman G-21A seaplane
 Virgin Islands,Antilles Air,1978-04-05,St. Thomas- Virgin Islands,Grumman G-21
 Poland,APRL,1984-09-16,Opole- Poland,Antonov An-2T
 England,Aquilla Airways,1957-11-15,Chessell Down- England,Short Solent 3 (flying boat)
 Colombia,Arall,1994-05-23,Loma Linda- Colombia,Pilatus Britten-Norman BN-2B-27 Islander
 Brazil,Aramar,1988-10-02,Sao Pedro da Aldeia- Brazil,Beech King Air F90
 Saudi Arabia,Aramco Associated Company,1999-10-02,Dhahran- Saudi Arabia,Bell 214ST helicopter
 Armenia,Ararat Avia,1998-10-21,Yerevan- Armenia,Yakovlev YAK-40
 Egypt,Arax Airlines,1988-03-31,Cairo- Egypt,Douglas DC-8-55F
 Kazakhstan,Aray-Avia,2004-05-18,Bozoy- Kazakhstan,PZL-Mielec AN-2R
 India,Archana Airlines,1996-07-11,Near Kanda- India,Let 410
 Chile,Archipelagos Service Aereos,2019-04-16,Puerto Montt- Chile,Pilatus-Britten Norman BN-2B-27 Islander
 Alaska,Arctic Circle Air Service,1992-07-13,Bethel- Alaska,Shorts SC-7 Skyvan 3A-200
 Ohio,Arctic Pacific,1960-10-29,Toledo- Ohio,Curtiss C-46F-1-CU
 NWT,Arctic Wings & Rotors,1993-12-03,Tuktoyaktuk- NWT- Canada,Britten Norman BN-2A Trislander7
 Ecuador,AREA,1958-04-07,Mt. Illiniza- Ecuador,Douglas DC-3
 Ecuador,AREA,1960-11-07,Near Quito- Ecuador,Fairchild F-27A
 Iran,Aria Airlines,2009-07-24,Mashad- Iran,Ilyushin Il-62M
 Afghanistan,Ariana Afghan Airlines,1954-01-02,Herat- Afghanistan,Douglas DC-3
 Lebanon,Ariana Afghan Airlines,1959-11-21,Beirut- Lebanon,Douglas DC-4
 Horley,Ariana Afghan Airlines,1969-01-05,Gatwick Airport- Horley- Surrey- England,Boeing B-727-113C
 Afghanistan,Ariana Afghan Airlines,1985-09-04,Near Kandahar- Afghanistan,Antonov AN-26
 Iran,Ariana Afghan Airlines,1989-06-18,Zabol- Iran,Antonov AN-26
 Afghanistan,Ariana Afghan Airlines,1995-09-11,Jalalabad- Afghanistan,Antonov AN-26B
 Afghanistan,Ariana Afghan Airlines,1997-10-29,Jalal-Abad- Afghanistan,Yakovlev YAK-40
 Afghanistan,Ariana Afghan Airlines,1998-03-19,Near Charasyab- Afghanistan,Boeing B-727-228
 Russia,Armavia,2006-05-03,Off Adler- Russia,Airbus A320-211
 California,Arrow Airlines,1949-12-07,Vallejo- California,Douglas DC-3
 Newfoundland,Arrow Airways,1985-12-12,Gander- Newfoundland- Canada,McDonnell Douglas DC-8 Super 63PF
 Russia,Arsenyev Aviation Production Association,1994-09-30,Chaibukha- Russia,Antonov AN-8
,ARTOP Aerotopografica LDA,1958-11-09,North Atlantic Ocean,Martin Mariner
,Aeroflot,1934-12-31,?,Tupolev ANT-9
 Tajikistan,Aeroflot,1936-07-28,Kulyab- Tajikistan,Tupolev ANT-9
 Romania,Aeroflot,1937-08-06,Bistrita- Romania,Douglas DC-2
 Turkmenistan,Aeroflot,1941-11-29,Chardzhou- Turkmenistan,Tupolev ANT-6
 Kazakhstan,Aeroflot,1941-12-26,Baiserke- Kazakhstan,Tupolev ANT-6
 Russia,Aeroflot,1942-10-22,Yanaul- Russia,GVF PS-84
 Russia,Aeroflot,1942-12-12,Near Tashkent- Russia,Tupolev A.N.T. 20bis
 Ukraine,Aeroflot,1944-12-07,Orlivka- Ukraine,Lisunov LI-2
 Russia,Aeroflot,1946-01-14,Near Netrubezh- Russia,Lisunov Li-2
 Russia,Aeroflot,1946-11-05,Near Moscow- Russia,Douglas C-47
 Russia,Aeroflot,1946-11-09,Ufa- Russia,Lisunov LI-2
 Iran,Aeroflot,1946-12-04,Meshed- Iran,Lisunov Li-2
 USSR,Aeroflot,1947-03-05,Near Georgia- USSR,Doublas C-47
 Russia,Aeroflot,1947-05-16,Near Khabarovsk- Russia,Douglas DC-47
 Gulf of Karkinitsky,Aeroflot,1947-06-21,Black Sea- Gulf of Karkinitsky,Li-2
 Russia,Aeroflot,1947-12-18,Krasnoyarsk- Russia,Ilyushin IL-12
,Aeroflot,1948-04-24,Near Irkutsk Russia,Lisnov Li-2
 Russia,Aeroflot,1948-05-22,Khabarovsk- Russia,Douglas C-47
 Kazakhstan,Aeroflot,1948-09-30,Balkhash- Kazakhstan,Lisunov LI-2
 Azerbaijan,Aeroflot,1948-10-12,Near Yevlakh- Azerbaijan- USSR,Ilyushin Il12
 Russia,Aeroflot,1948-11-22,Near Ryzhovo- Russia,Lisunov Li-2
 Ukraine,Aeroflot,1949-01-19,Donetsk- Ukraine,Ilyushin II-12
 Uzbekistan,Aeroflot,1949-03-12,Mt Bel -Aut- Uzbekistan,Lisunov LI-2
 Russia,Aeroflot,1949-04-29,Near Mironovo- Russia,Lisunov Li-2
 Russia,Aeroflot,1949-05-13,Near Novosibirsk- Russia,Ilyushin IL-12
 Russia,Aeroflot,1949-07-21,Marga- Russia,Ilyushin IL-12
 Russia,Aeroflot,1950-07-30,Karaganda- Russia,Ilyushin IL-12
 Russia,Aeroflot,1951-03-25,Irkutsk- Russia,Lisunov LI-2
 Russia,Aeroflot,1951-11-17,Near Novosibirsk- Russia,Ilyushin IL-12
 Russia,Aeroflot,1951-12-27,Near Namtso- Russia,Lisunov LI-2
 Russia,Aeroflot,1952-03-26,Moscow- Russia,?
 Russia,Aeroflot,1952-10-05,Skvoritsy- Russia,Ilyushin IL-12
 Russia,Aeroflot,1953-05-27,Goose Wade- Russia,Li-2 / Li-2T
 Georgia,Aeroflot,1953-06-14,Near Zugdidi- Georgia,Ilyushin IL-2
 North Korea,Aeroflot,1953-07-27,Near Kanggye- North Korea,Ilyushin IL-12
 Russia,Aeroflot,1953-10-27,Near Magadan- Russia,Ilyushin IL-12
 Russia,Aeroflot,1953-10-31,Kharkov. Ukraine- Russia,Li-2
 Russia,Aeroflot,1954-08-26,Sakhalin Oblast- Russia,Lisunov LI-2
 Russia,Aeroflot,1954-09-27,Novosibirsk- Russia,Ilyushin IL-12
 Russia,Aeroflot,1954-10-28,Krasnoyarsk Territory- Russia,Ilyushin IL -12
 Russia,Aeroflot,1954-12-31,Irkutsk- Russia,Ilyushin II-14
 Russia,Aeroflot,1955-08-05,Near Voronezh- Russia,Aeroflot
 Russia,Aeroflot,1955-12-09,Khabarovsk Territory- Russia,Li-2
 Denmark,Aeroflot,1957-08-15,Copenhagen- Denmark,Ilyushin IL-14P
 Russia,Aeroflot,1957-10-01,Akshi- Russia,Ilyushin IL-12
 Russia,Aeroflot,1957-12-18,Near Birobidzhan- Russia,Ilyushin IL-12
 Russia,Aeroflot,1958-06-09,Magadan Oblast- Russia,Ilyushin IL-12
 Russia,Aeroflot,1958-08-15,Near Chita- Russia,Tupolev TU-104-A
 Russia,Aeroflot,1958-09-07,Kazakh- Russia,Aeroflot
 Russia,Aeroflot,1958-09-19,Near Lazo- Russia,Ilyushin IL-12
 Russia,Aeroflot,1958-10-17,Near Kanash- Russia,Tupolev TU-104A
 Uzbekstan,Aeroflot,1958-12-23,Tashkent- Uzbekstan,Ilyushin IL-14
 Russia,Aeroflot,1959-01-18,Stalingrad- Russia,Ilyushin IL-14P
 Russia,Aeroflot,1959-10-23,Near Moscow- Russia,Ilyushin IL-14P
 Ukraine,Aeroflot,1959-11-16,Lvov- Ukraine- USSR,Antonov AN-10
 Uzbekistan,Aeroflot,1959-12-13,Near Tashkent- Uzbekistan- USSR,Ilyushin IL-18
 Ukraine,Aeroflot,1960-02-26,Lvov-Snilow- Ukraine,Antonov 10A
 Georgia,Aeroflot,1960-06-10,Nea Tkvarcheli- Georgia,Ilyushin IL-14P
 Russia,Aeroflot,1960-07-20,Near Syktyvkar- Russia,Ilushin IL-14
 Ukraine,Aeroflot,1960-08-17,Near Kiev- Ukraine,Ilyushin IL-18B
 Russia,Aeroflot,1960-09-02,Near Zikhnovo- Russia,Ilyushin IL-14P
 Russia,Aeroflot,1960-10-21,Ust-Orda- Russia,Tupolev Tu-104A
 Russia,Aeroflot,1960-12-04,Chernovo- Russia,Ilyushin 14M
 Russia,Aeroflot,1960-12-26,Near Ulyanovsk- Russia,Ilyushin IL-18A
 Russia,Aeroflot,1961-07-08,Sverdlovsk- Russia,Ilyushin IL-14P
 Ukraine,Aeroflot,1961-07-10,Odessa- Ukraine- USSR,Tupolev TU-104B
 Russia,Aeroflot,1961-12-17,Near Chebotovka- Russia,Ilyushin IL-18B
 Russia,Aeroflot,1961-12-31,Near Mineral Waters- Russia,Ilyushin IL-18B
 USSR,Aeroflot,1962-01-27,Batataevka- USSR,Antonov AN-10A
 Russia,Aeroflot,1962-05-24,Bitter- Russia,Li-2
 Bulgaria,Aeroflot,1962-06-04,Sofia- Bulgaria,Tupolev Tu-104B
 Russia,Aeroflot,1962-06-28,Near Adler- Russia,Antonov AN-10A
 USSR,Aeroflot,1962-06-30,Near Krasnoyarsk- USSR,Tupolev TU-104A
 Uzbekistan,Aeroflot,1962-07-06,Near Tashkent- Uzbekistan- USSR,Ilyushin IL-14
 Russia,Aeroflot,1962-07-28,Sochi- Russia,Antonov An-10A
 USSR,Aeroflot,1962-09-03,Near Khabarovsk- USSR,Tupolev TU-104A
 Russia,Aeroflot,1962-09-18,Yakut- Russia,Aeroflot
 Russia,Aeroflot,1962-10-25,Near Moscow- Russia,Tupolev TU-104B
 Russia,Aeroflot,1963-01-14,Tazovskoye- Russia,Lisunov LI-2
Russia,Aeroflot,1963-02-08,Syktyvkar -Russia,Antonov An-10A
 Turkmenistan,Aeroflot,1963-03-05,Ashgabat- Turkmenistan,Ilyushin IL-18V
 Russia,Aeroflot,1963-04-04,Tatarstan- Russia,Ilyushin IL-18
 Russia,Aeroflot,1963-07-13,Near Irkutsk- Russia,Tupolev TU-104B
 Russia,Aeroflot,1963-08-21,Near Leningrad - Russia,Tupolev Tu-124
 Russia,Aeroflot,1963-08-24,Near Kutaisa- Russia,Ilyushin Il-14P
 Russia,Aeroflot,1963-10-20,Hayes Island- Russia,Ilyushin IL-14
 Russia,Aeroflot,1964-09-02,Island of Sakhalin- Russia,Ilyushin IL-18B
 Russia,Aeroflot,1965-01-02,Near Darwaza- Russia,Lisunov LI-2
 Azerbaijan,Aeroflot,1965-02-13,Near Shirinbulak- Azerbaijan,Ilyushin IL-14P
 Russia,Aeroflot,1965-03-02,Near Aradan- Russia,Li-2
 Russia,Aeroflot,1965-03-08,Kuibyshev - Russia,Tupolev Tu-124V
 Russia,Aeroflot,1965-03-20,Khanty- Russia,Antonov AN-24
 Russia,Aeroflot,1965-11-10,Murmansk- Russia,Tupolev TU-124
 Russia,Aeroflot,1966-01-01,Kamchatsky- Russia,Ilyushin IL-14P
 Uzbekistan,Aeroflot,1966-01-14,Shamurat- Uzbekistan,Antonov AN-2
 Russia,Aeroflot,1966-02-16,Pechora- Russia,Ilyushin II-14
 Russia,Aeroflot,1966-02-16,Moscow- Russia,Tupolev Tu-114
 Azerbaijan,Aeroflot,1966-04-23,Off Baku- Azerbaijan,Ilyushin IL-14
 Russia,Aeroflot,1966-12-02,Moscow- Russia,Tupolev TU-114B
 Russia,Aeroflot,1967-03-12,Near Yakutsk- Russia,Ilyushin IL-14P
 Russia,Aeroflot,1967-11-16,Near Sverdlovsk- Russia,Ilyushin IL-18B
 Latvia,Aeroflot,1967-12-30,Liepaja- Latvia,Antonov AN-24B
 Russia,Aeroflot,1968-01-06,Near Olekminsk- Russia,Antonov An-24B
 Russia,Aeroflot,1968-02-29,Near Bratsk- Russia,Ilyushin IL-18D
 Kyrgyzstan,Aeroflot,1969-06-28,Near Talas- Kyrgyzstan,Ilyushin IL-14
 Ukraine,Aeroflot,1969-08-03,Preobrazhenka- Ukraine,Antonov An-24B
 Russia,Aeroflot,1969-08-26,Khovu-Aksy- Russia,Antonov AN-2
 Russia,Aeroflot,1969-08-26,Moscow- Russia,Ilyushin IL-18
 Russia,Aeroflot,1969-09-01,Cross Bay- Russia,Ilyushin IL-14P
 Russia,Aeroflot,1969-10-13,Nizhnevartovsk- Russia,Antonov An-24B
 Russia,Aeroflot,1969-11-13,Near Anderma- Russia,Antonov An-12TB
 Russia,Aeroflot,1969-12-06,Near Khantanga- Russia,Antonov An-12PL
 Russia,Aeroflot,1969-12-10,Off Makhachkala - Russia,Ilyushin 14P
 Russia,Aeroflot,1970-01-28,Near Batagai- Russia,Antonov AN-24
 Russia,Aeroflot,1970-01-29,Near Murmansk- Russia,Tupolev TU-124
 USSR,Aeroflot,1970-02-06,Near Samarkand- USSR,Ilyushin IL-18V
 Russia,Aeroflot,1970-04-01,Novosibirsk- Russia,Antonov AN-24V
 Ukraine,Aeroflot,1970-04-04,Zaporozhye- Ukraine,Ilyushin IL-14P
 Moldavia,Aeroflot,1970-05-15,Kishiniev- Moldavia- USSR,Antonov AN-10
 Ukraine,Aeroflot,1970-09-02,Lihovka- Ukraine,Tupolev Tu-124
 Ukraine,Aeroflot,1970-09-02,Near Dnepropetrovsk- Ukraine- USSR,Tupolev TU-124
 USSR,Aeroflot,1970-09-03,Near Leningrad- USSR,Yakovlev YAK-40
 USSR,Aeroflot,1970-12-31,Leningrad- USSR,Ilyushin IL-18B
 USSR,Aeroflot,1971-01-22,Surgut- USSR,Antonov AN-12B
 Russia,Aeroflot,1971-01-31,Voroshilovgrad- Russia,Antonov AN-10
 Ukraine,Aeroflot,1971-03-31,Vorochilovgrad- Ukraine,Antonov An-10
 Russia,Aeroflot,1971-07-25,Near Irkutsk- Russia,Tupolev TU-104B
 Russia,Aeroflot,1971-10-10,Moscow- Russia,Tupolev TU-104B
 Russia,Aeroflot,1971-11-12,Vinnitsa- Russia,Antonov AN-24
 Russia,Aeroflot,1971-12-01,Saratov- Russia,Antonov AN-24
 USSR,Aeroflot,1972-05-04,Bratsk- USSR,Yakovlev YAK-40
 Ukraine,Aeroflot,1972-05-18,Near Kharkov- Ukraine- USSR,Antonov AN-10A
 Russia,Aeroflot,1972-08-31,Near Magnitogorsk- Russia,Ilyushin IL-18
